date,city,scenario,temperature_f,precip_mm
1850-07,San Diego,ssp126,61.19,0.9341
1850-08,San Diego,ssp126,61.21,0.923
1850-09,San Diego,ssp126,61.44,0.6605
1850-10,San Diego,ssp126,61.38,0.7285
1850-11,San Diego,ssp126,61.43,0.6623
1850-12,San Diego,ssp126,61.31,0.6359
1851-01,San Diego,ssp126,61.22,0.6156
1851-02,San Diego,ssp126,61.38,0.6212
1851-03,San Diego,ssp126,61.4,0.6253
1851-04,San Diego,ssp126,61.08,0.6443
1851-05,San Diego,ssp126,61.2,0.6468
1851-06,San Diego,ssp126,61.16,0.5018
1851-07,San Diego,ssp126,61.48,0.8173
1851-08,San Diego,ssp126,61.0,0.738
1851-09,San Diego,ssp126,60.77,0.7374
1851-10,San Diego,ssp126,60.53,0.8011
1851-11,San Diego,ssp126,60.14,0.8603
1851-12,San Diego,ssp126,60.25,0.8545
1852-01,San Diego,ssp126,60.37,0.863
1852-02,San Diego,ssp126,60.17,0.8556
1852-03,San Diego,ssp126,59.43,0.8612
1852-04,San Diego,ssp126,59.49,0.8447
1852-05,San Diego,ssp126,59.33,0.9707
1852-06,San Diego,ssp126,59.48,1.1379
1852-07,San Diego,ssp126,59.58,0.8417
1852-08,San Diego,ssp126,60.12,1.3117
1852-09,San Diego,ssp126,60.19,1.3844
1852-10,San Diego,ssp126,60.56,1.3079
1852-11,San Diego,ssp126,60.58,1.4918
1852-12,San Diego,ssp126,60.89,1.4935
1853-01,San Diego,ssp126,60.95,1.4893
1853-02,San Diego,ssp126,60.8,1.4949
1853-03,San Diego,ssp126,61.33,1.491
1853-04,San Diego,ssp126,61.77,1.4958
1853-05,San Diego,ssp126,62.13,1.4337
1853-06,San Diego,ssp126,62.03,1.341
1853-07,San Diego,ssp126,62.08,1.2685
1853-08,San Diego,ssp126,62.35,0.8126
1853-09,San Diego,ssp126,62.62,0.7355
1853-10,San Diego,ssp126,62.91,0.5943
1853-11,San Diego,ssp126,63.2,0.3494
1853-12,San Diego,ssp126,62.87,0.3515
1854-01,San Diego,ssp126,62.67,0.3529
1854-02,San Diego,ssp126,62.73,0.4077
1854-03,San Diego,ssp126,63.01,0.4073
1854-04,San Diego,ssp126,62.69,0.487
1854-05,San Diego,ssp126,62.26,0.4353
1854-06,San Diego,ssp126,62.44,0.3763
1854-07,San Diego,ssp126,62.51,0.8582
1854-08,San Diego,ssp126,61.82,0.9913
1854-09,San Diego,ssp126,61.81,1.0835
1854-10,San Diego,ssp126,61.92,1.1077
1854-11,San Diego,ssp126,62.03,1.0965
1854-12,San Diego,ssp126,62.28,1.0889
1855-01,San Diego,ssp126,62.72,1.0878
1855-02,San Diego,ssp126,62.85,1.0267
1855-03,San Diego,ssp126,62.79,1.0221
1855-04,San Diego,ssp126,62.82,1.0156
1855-05,San Diego,ssp126,62.81,1.0934
1855-06,San Diego,ssp126,62.93,1.0709
1855-07,San Diego,ssp126,62.97,0.8829
1855-08,San Diego,ssp126,63.42,0.9063
1855-09,San Diego,ssp126,63.32,0.7772
1855-10,San Diego,ssp126,63.01,0.8705
1855-11,San Diego,ssp126,62.87,1.1234
1855-12,San Diego,ssp126,62.45,1.1624
1856-01,San Diego,ssp126,62.17,1.1585
1856-02,San Diego,ssp126,61.95,1.1631
1856-03,San Diego,ssp126,61.79,1.1628
1856-04,San Diego,ssp126,62.2,1.1787
1856-05,San Diego,ssp126,62.26,1.0903
1856-06,San Diego,ssp126,62.16,1.3391
1856-07,San Diego,ssp126,62.19,1.2163
1856-08,San Diego,ssp126,61.98,1.2168
1856-09,San Diego,ssp126,61.82,1.283
1856-10,San Diego,ssp126,61.92,1.261
1856-11,San Diego,ssp126,61.64,1.1031
1856-12,San Diego,ssp126,61.69,1.0897
1857-01,San Diego,ssp126,61.83,1.0875
1857-02,San Diego,ssp126,62.03,1.0854
1857-03,San Diego,ssp126,62.18,1.0879
1857-04,San Diego,ssp126,62.36,0.9904
1857-05,San Diego,ssp126,62.53,1.003
1857-06,San Diego,ssp126,62.34,0.7335
1857-07,San Diego,ssp126,61.89,0.7868
1857-08,San Diego,ssp126,61.84,0.6171
1857-09,San Diego,ssp126,61.45,0.599
1857-10,San Diego,ssp126,61.03,0.594
1857-11,San Diego,ssp126,61.22,0.515
1857-12,San Diego,ssp126,61.31,0.4938
1858-01,San Diego,ssp126,61.11,0.4945
1858-02,San Diego,ssp126,61.32,0.4917
1858-03,San Diego,ssp126,61.37,0.4883
1858-04,San Diego,ssp126,60.54,0.5242
1858-05,San Diego,ssp126,60.34,0.5475
1858-06,San Diego,ssp126,60.18,0.6468
1858-07,San Diego,ssp126,60.61,0.9998
1858-08,San Diego,ssp126,60.62,1.036
1858-09,San Diego,ssp126,61.01,1.2229
1858-10,San Diego,ssp126,61.25,1.376
1858-11,San Diego,ssp126,61.32,1.4506
