year,city,scenario,temperature_f,precip_mm
1950,San Diego,ssp126,61.66,0.9122
1951,San Diego,ssp126,63.17,1.0744
1952,San Diego,ssp126,61.89,0.9374
1953,San Diego,ssp126,61.9,0.9905
1954,San Diego,ssp126,63.17,0.9152
1955,San Diego,ssp126,62.82,0.637
1956,San Diego,ssp126,61.43,0.6952
1957,San Diego,ssp126,63.08,1.0194
1958,San Diego,ssp126,62.5,1.3755
1959,San Diego,ssp126,60.66,1.6682
1960,San Diego,ssp126,62.1,0.687
1961,San Diego,ssp126,61.64,0.9685
1962,San Diego,ssp126,60.43,1.0815
1963,San Diego,ssp126,61.28,0.8366
1964,San Diego,ssp126,60.81,0.7365
1965,San Diego,ssp126,61.96,0.812
1966,San Diego,ssp126,60.69,1.0973
1967,San Diego,ssp126,60.83,0.9825
1968,San Diego,ssp126,62.3,0.7182
1969,San Diego,ssp126,62.43,0.4072
1970,San Diego,ssp126,61.24,0.6326
1971,San Diego,ssp126,61.97,0.6754
1972,San Diego,ssp126,61.17,0.7099
1973,San Diego,ssp126,62.46,0.6485
1974,San Diego,ssp126,62.01,0.8544
1975,San Diego,ssp126,61.61,0.689
1976,San Diego,ssp126,60.92,0.7687
1977,San Diego,ssp126,61.16,1.7349
1978,San Diego,ssp126,60.64,1.6497
1979,San Diego,ssp126,62.1,1.2157
1980,San Diego,ssp126,62.78,1.1131
1981,San Diego,ssp126,61.54,1.1833
1982,San Diego,ssp126,61.77,1.0294
1983,San Diego,ssp126,61.36,0.77
1984,San Diego,ssp126,59.71,0.7903
1985,San Diego,ssp126,59.6,0.9116
1986,San Diego,ssp126,61.5,0.9023
1987,San Diego,ssp126,60.34,1.101
1988,San Diego,ssp126,60.52,0.8064
1989,San Diego,ssp126,61.59,1.1167
1990,San Diego,ssp126,62.1,1.289
1991,San Diego,ssp126,63.62,0.6918
1992,San Diego,ssp126,62.77,0.6485
1993,San Diego,ssp126,61.79,0.631
1994,San Diego,ssp126,61.29,0.8606
1995,San Diego,ssp126,61.53,0.7134
1996,San Diego,ssp126,61.56,0.5813
1997,San Diego,ssp126,61.92,0.4728
1998,San Diego,ssp126,61.04,1.1556
1999,San Diego,ssp126,61.78,1.2509
2000,San Diego,ssp126,62.51,0.8405
2001,San Diego,ssp126,61.16,1.2772
2002,San Diego,ssp126,61.26,1.2901
2003,San Diego,ssp126,62.77,0.9862
2004,San Diego,ssp126,62.2,1.0405
2005,San Diego,ssp126,62.47,1.0982
2006,San Diego,ssp126,62.47,0.5801
2007,San Diego,ssp126,61.91,0.6962
2008,San Diego,ssp126,62.86,1.0479
2009,San Diego,ssp126,61.82,0.8037
2010,San Diego,ssp126,62.49,0.663
2011,San Diego,ssp126,63.43,0.8562
2012,San Diego,ssp126,62.91,1.0182
2013,San Diego,ssp126,62.24,1.0174
2014,San Diego,ssp126,62.6,0.5568
2015,San Diego,ssp126,61.62,0.3706
2016,San Diego,ssp126,62.66,1.1691
2017,San Diego,ssp126,62.15,1.2843
2018,San Diego,ssp126,62.61,0.4334
2019,San Diego,ssp126,62.56,0.9058
2020,San Diego,ssp126,61.8,1.4691
2021,San Diego,ssp126,63.69,1.0398
2022,San Diego,ssp126,64.21,0.6776
2023,San Diego,ssp126,63.54,0.88
2024,San Diego,ssp126,63.45,0.5209
2025,San Diego,ssp126,64.15,0.4646
2026,San Diego,ssp126,63.47,0.8929
2027,San Diego,ssp126,62.7,0.9174
2028,San Diego,ssp126,62.9,1.1535
2029,San Diego,ssp126,63.39,0.93
2030,San Diego,ssp126,63.46,1.1756
2031,San Diego,ssp126,63.93,1.3141
2032,San Diego,ssp126,64.13,1.0348
2033,San Diego,ssp126,63.59,1.1377
2034,San Diego,ssp126,63.87,1.0638
2035,San Diego,ssp126,64.78,0.6737
2036,San Diego,ssp126,63.62,1.1971
2037,San Diego,ssp126,63.87,1.2505
2038,San Diego,ssp126,64.36,0.8541
